BANCO;MONTO;PERFIL;FECHA
INTERNACIONAL, S. A.;10275207;PASIVO;2021/01/31
CITIBANK, N.A., SUCURSAL GUATEMALA;4249419;PASIVO;2021/01/31
VIVIBANCO, S. A.;632870;PASIVO;2021/01/31
FICOHSA GUATEMALA, S. A.;2712260;PASIVO;2021/01/31
PROMERICA, S. A.;16351145;PASIVO;2021/01/31
DE ANTIGUA, S. A.;1312273;PASIVO;2021/01/31
DE AMÉRICA CENTRAL, S. A.;31655966;PASIVO;2021/01/31
AGROMERCANTIL DE GUATEMALA, S. A.;29217386;PASIVO;2021/01/31
G&T CONTINENTAL, S. A.;51416248;PASIVO;2021/01/31
AZTECA DE GUATEMALA, S. A.;1333652;PASIVO;2021/01/31
INV, S. A.;803626;PASIVO;2021/01/31
CREDICORP, S. A.;370599;PASIVO;2021/01/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;245799;CAPITAL;2021/01/31
INMOBILIARIO, S. A.;334399;CAPITAL;2021/01/31
DE LOS TRABAJADORES;3942315;CAPITAL;2021/01/31
INDUSTRIAL, S. A.;9227533;CAPITAL;2021/01/31
DE DESARROLLO RURAL, S. A.;7984110;CAPITAL;2021/01/31
INTERNACIONAL, S. A.;1047089;CAPITAL;2021/01/31
CITIBANK, N.A., SUCURSAL GUATEMALA;345417;CAPITAL;2021/01/31
VIVIBANCO, S. A.;155683;CAPITAL;2021/01/31
FICOHSA GUATEMALA, S. A.;319530;CAPITAL;2021/01/31
PROMERICA, S. A.;1618783;CAPITAL;2021/01/31
DE ANTIGUA, S. A.;176044;CAPITAL;2021/01/31
DE AMÉRICA CENTRAL, S. A.;3045176;CAPITAL;2021/01/31
AGROMERCANTIL DE GUATEMALA, S. A.;2637937;CAPITAL;2021/01/31
G&T CONTINENTAL, S. A.;5138181;CAPITAL;2021/01/31
AZTECA DE GUATEMALA, S. A.;577422;CAPITAL;2021/01/31
INV, S. A.;125645;CAPITAL;2021/01/31
CREDICORP, S. A.;59999;CAPITAL;2021/01/31
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5393023;ACTIVO;2021/02/28
INMOBILIARIO, S. A.;1981535;ACTIVO;2021/02/28
DE LOS TRABAJADORES;28133805;ACTIVO;2021/02/28
INDUSTRIAL, S. A.;109003615;ACTIVO;2021/02/28
DE DESARROLLO RURAL, S. A.;86213140;ACTIVO;2021/02/28
INTERNACIONAL, S. A.;11317515;ACTIVO;2021/02/28
CITIBANK, N.A., SUCURSAL GUATEMALA;4336361;ACTIVO;2021/02/28
VIVIBANCO, S. A.;790974;ACTIVO;2021/02/28
FICOHSA GUATEMALA, S. A.;3154878;ACTIVO;2021/02/28
PROMERICA, S. A.;17855222;ACTIVO;2021/02/28
DE ANTIGUA, S. A.;1509598;ACTIVO;2021/02/28
DE AMÉRICA CENTRAL, S. A.;34902032;ACTIVO;2021/02/28
AGROMERCANTIL DE GUATEMALA, S. A.;31969271;ACTIVO;2021/02/28
G&T CONTINENTAL, S. A.;56947898;ACTIVO;2021/02/28
AZTECA DE GUATEMALA, S. A.;1911612;ACTIVO;2021/02/28
INV, S. A.;932459;ACTIVO;2021/02/28
CREDICORP, S. A.;447673;ACTIVO;2021/02/28
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;5139261;PASIVO;2021/02/28
INMOBILIARIO, S. A.;1648941;PASIVO;2021/02/28
DE LOS TRABAJADORES;24278645;PASIVO;2021/02/28
INDUSTRIAL, S. A.;99780819;PASIVO;2021/02/28
DE DESARROLLO RURAL, S. A.;78154425;PASIVO;2021/02/28
INTERNACIONAL, S. A.;10261023;PASIVO;2021/02/28
CITIBANK, N.A., SUCURSAL GUATEMALA;3987399;PASIVO;2021/02/28
VIVIBANCO, S. A.;639899;PASIVO;2021/02/28
FICOHSA GUATEMALA, S. A.;2832356;PASIVO;2021/02/28
PROMERICA, S. A.;16210741;PASIVO;2021/02/28
DE ANTIGUA, S. A.;1328401;PASIVO;2021/02/28
DE AMÉRICA CENTRAL, S. A.;31855188;PASIVO;2021/02/28
AGROMERCANTIL DE GUATEMALA, S. A.;29315476;PASIVO;2021/02/28
G&T CONTINENTAL, S. A.;51758293;PASIVO;2021/02/28
AZTECA DE GUATEMALA, S. A.;1321946;PASIVO;2021/02/28
INV, S. A.;813083;PASIVO;2021/02/28
CREDICORP, S. A.;396504;PASIVO;2021/02/28
EL CRÉDITO HIPOTECARIO NACIONAL DE GUATEMALA;253763;CAPITAL;2021/02/28
INMOBILIARIO, S. A.;332593;CAPITAL;2021/02/28
DE LOS TRABAJADORES;3855160;CAPITAL;2021/02/28
INDUSTRIAL, S. A.;9222797;CAPITAL;2021/02/28
DE DESARROLLO RURAL, S. A.;8058715;CAPITAL;2021/02/28
INTERNACIONAL, S. A.;1056493;CAPITAL;2021/02/28
CITIBANK, N.A., SUCURSAL GUATEMALA;348962;CAPITAL;2021/02/28
VIVIBANCO, S. A.;151075;CAPITAL;2021/02/28
FICOHSA GUATEMALA, S. A.;322522;CAPITAL;2021/02/28
PROMERICA, S. A.;1644481;CAPITAL;2021/02/28
DE ANTIGUA, S. A.;181196;CAPITAL;2021/02/28
